release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release,log_price
2001-08-04,Air Jordan,Air Jordan 16 OG Low 'Varsity Red',men,4,White,Leather,Zoom Air,39,0,613.0,8673,6.418364935936212
2001-01-01,Nike,Dunk Low Pro B CO.JP 'Ceramic' 2001,men,2,Orange,Unknown,Basic,39,0,413.0,8888,6.023447592961033
2001-04-14,Air Jordan,Wmns Air Jordan 11 Retro Low 'Citrus' 2001,women,2,White,Unknown,Air,38,1,529.0,8785,6.270988431858299
2001-10-05,Air Jordan,Air Jordan 1 CO.JP 'Metallic Silver' 2001,men,4,Silver,Leather,Air,39,0,1279.0,8611,7.153833801578843
2001-01-01,Nike,Dunk Low Pro B CO.JP 'Plum' 2001,men,3,Purple,Unknown,Basic,39,0,2638.0,8888,7.87777633327726
2002-03-01,Nike,Dunk Low Pro SB 'Paris',men,3,Multi-Color,Unknown,Zoom Air,39,1,104568.0,8464,11.557592856465387
2002-09-01,Nike,Supreme x Dunk Low Pro SB 'White Cement',men,3,White,Unknown,Zoom Air,39,1,8438.0,8280,9.040500592684284
2002-04-12,Air Jordan,Air Jordan 17+ OG 'Copper' 2002,men,5,White,Leather,Zoom Air,39,0,369.0,8422,5.910796644040527
2002-02-09,Air Jordan,Air Jordan 17 OG 'College Blue',men,4,White,Leather,Zoom Air,39,0,1135.0,8484,7.034387929915503
2002-07-31,Air Jordan,Air Jordan 17 OG 'Varsity Red',men,4,White,Leather,Zoom Air,39,0,1227.0,8312,7.112327444710911
2002-06-01,Air Jordan,Air Jordan 17 OG Low 'All Star - Lightning' 2002,men,4,White,Leather,Zoom Air,39,0,351.0,8372,5.860786223465865
2002-12-14,Air Jordan,Air Jordan 7 Retro 'Raptor' 2002,men,4,Black,Nubuck,Air,39,0,417.0,8176,6.0330862217988015
2002-09-01,Nike,Supreme x Dunk Low Pro SB 'Black Cement',men,3,Black,Unknown,Zoom Air,39,1,6034.0,8280,8.705165419719007
2002-01-12,Air Jordan,Air Jordan 9 Retro 'White Black Red' 2002,men,3,White,Unknown,Air,39,0,420.0,8512,6.040254711277414
2002-12-14,Air Jordan,Air Jordan 7 Retro 'French Blue' 2002,men,4,White,Leather,Air,39,0,312.0,8176,5.7430031878094825
2002-05-04,Air Jordan,Air Jordan 9 Retro 'French Blue' 2002,men,4,White,Unknown,Air,39,0,580.0,8400,6.363028103540465
2002-10-01,Nike,Dunk Low Pro SB 'Loden',men,3,Green,Unknown,Zoom Air,39,0,2634.0,8250,7.876258882303226
2002-06-01,Air Jordan,Air Jordan 17 OG Low 'UNC' 2002,men,5,White,Leather,Zoom Air,39,0,686.0,8372,6.530877627725885
2002-10-25,Air Jordan,Air Jordan 9 Retro 'Cool Grey' 2002,men,4,Grey,Unknown,Air,39,0,320.0,8226,5.768320995793772
2002-01-01,Nike,Atmos x Air Max 1 B 'Safari',men,6,Brown,Canvas,Air,39,1,4978.0,8523,8.512783482927537
2002-03-20,Air Jordan,Air Jordan 17 OG 'Black Metallic Silver',men,3,Black,Leather,Zoom Air,39,0,678.0,8445,6.519147287940395
2002-09-21,Air Jordan,Air Jordan 9 Retro Low 'Blue Pearl' 2002,men,3,White,Unknown,Air,39,0,415.0,8260,6.028278520230698
2002-04-27,Air Jordan,Air Jordan 6 Retro Low 'University Blue',men,3,White,Suede,Air,39,0,219.0,8407,5.389071729816501
2002-03-09,Air Jordan,Air Jordan 9 Retro 'Olive' 2002,men,4,Black,Unknown,Air,39,0,677.0,8456,6.517671272912275
2002-07-03,Air Jordan,Air Jordan 9 Retro Low,men,2,White,Unknown,Air,39,0,286.0,8340,5.655991810819852
2002-03-01,Nike,Dunk Low Pro SB,men,3,Brown,Unknown,Zoom Air,39,0,1331.0,8464,7.193685818395112
2002-01-01,Nike,Dunk Low Pro B 'Viotech',men,2,Purple,Unknown,Basic,39,0,1331.0,8523,7.193685818395112
2002-12-01,Nike,Reese Forbes x Dunk Low Pro SB 'Denim',men,2,Blue,Unknown,Zoom Air,39,0,12484.0,8189,9.43220310339067
2003-10-01,Nike,Zoom Flight 2k3,men,3,Black,Unknown,Basic,39,0,351.0,7885,5.860786223465865
2003-08-09,Air Jordan,Air Jordan 18 OG 'White Varsity Red',men,3,White,Leather,Zoom Air,39,0,319.0,7938,5.765191102784844
2003-03-01,Air Jordan,Air Jordan 8 Retro 'Bugs Bunny' 2003,men,3,White,Leather,Air,39,0,2638.0,8099,7.87777633327726
2003-03-05,Nike,Dunk Low Pro SB 'Heineken',men,3,Green,Unknown,Zoom Air,39,0,5112.0,8095,8.53934599605737
2003-02-08,Air Jordan,Air Jordan 18 OG 'Black Sport Royal' 2003,men,3,Black,Suede,Zoom Air,39,0,554.0,8120,6.317164686747284
2003-05-03,Air Jordan,Air Jordan 8 Retro 'Chrome' 2003,men,2,Black,Nubuck,Air,39,0,299.0,8036,5.700443573390687
2003-10-01,Air Jordan,Air Jordan 12 Retro 'Flu Game' 2003,men,3,Black,Unknown,Air,39,0,891.0,7885,6.792344427470809
2003-01-01,Nike,Air Force 1 Mid,men,3,Green,Unknown,Air,39,0,286.0,8158,5.655991810819852
2003-09-27,Air Jordan,Air Jordan 1 Retro 'UNC Patent',men,3,White,Patent Leather,Air,39,0,1658.0,7889,7.4133673356952405
2003-04-19,Air Jordan,Air Jordan 3 Retro 'White Cement' 2003,men,4,White,Unknown,Air,39,0,406.0,8050,6.0063531596017325
2003-06-21,Air Jordan,Air Jordan 8 Retro Low 'White Metallic Silver' 2003,men,2,White,Leather,Air,39,0,266.0,7987,5.583496308781699
2003-12-13,Air Jordan,Air Jordan 12 Retro 'Flint',men,4,White,Unknown,Air,39,1,384.0,7812,5.950642552587727
2003-03-01,Nike,Dunk Low Pro SB 'Bison',men,4,Brown,Unknown,Zoom Air,39,0,1658.0,8099,7.4133673356952405
2003-05-24,Air Jordan,Air Jordan 11 Retro Low IE 'Black Charcoal Red' 2003,men,5,Black,Unknown,Air,39,0,266.0,8015,5.583496308781699
2003-07-15,Nike,Dunk Low Premium Qk 'Haze' Special Box,men,4,Black,Leather,Basic,39,0,26168.0,7963,10.17229256921822
2003-08-08,Nike,Supreme x Dunk High Pro SB 'Blue',men,3,Blue,Unknown,Zoom Air,39,1,3945.0,7939,8.280204233279974
2003-07-01,Nike,Dunk Low Pro SB 'True Red',men,3,Red,Unknown,Zoom Air,39,0,1185.0,7977,7.077498053569231
2003-09-01,Nike,Dunk Low Pro SB 'Barf',men,4,Blue,Unknown,Zoom Air,39,1,1501.0,7915,7.313886831633462
2003-04-05,Air Jordan,Air Jordan 18 OG 'White Sport Royal' 2003,men,5,White,Leather,Zoom Air,39,0,501.0,8064,6.2166061010848646
2003-07-15,Nike,Dunk Premium 'Haze',men,3,Grey,Unknown,Basic,39,0,9825.0,7963,9.192685436737461
