url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/air-huarache-hyperpunch-318429-006,2014-09-18,Nike,Air Huarache 'Hyperpunch',men,4,Black,,,39,0,523.0,3880
https://www.goat.com/sneakers/air-jordan-5-retro-3lab5-metallic-599581-003,2014-07-26,Air Jordan,Air Jordan 5 Retro 3Lab5 'Elephant Print',men,3,Black,,Air,39,0,411.0,3934
https://www.goat.com/sneakers/air-jordan-1-fragment-716371-040,2014-12-27,Air Jordan,Fragment Design x Air Jordan 1 Retro High OG,men,4,Black,Leather,Air,39,1,2646.0,3780
https://www.goat.com/sneakers/air-jordan-1-low-black-game-royal-553558-007,2014-01-01,Air Jordan,Air Jordan 1 Low 'Black Game Royal',men,6,Black,,Air,39,0,95.0,4140
https://www.goat.com/sneakers/air-force-1-high-supreme-sp-red-698696-610,2014-10-23,Nike,Supreme x Air Force 1 High SP 'Red',men,2,Red,,Air,39,0,581.0,3845
https://www.goat.com/sneakers/kobe-9-em-646701-001,2014-05-03,Nike,Kobe 9 EM 'Laser Crimson',men,6,Black,Mesh,Lunarlon,39,0,769.0,4018
https://www.goat.com/sneakers/nike-id-kobe-9-elite-low-mamba-moment-677992-998,2014-12-01,Nike,Kobe 9 Elite Low 'Mamba Moment' iD,men,2,Green,Flyknit,Lunarlon,39,0,806.0,3806
https://www.goat.com/sneakers/kobe-9-em-dusty-cactus-646701-316,2014-10-03,Nike,Kobe 9 EM 'Dusty Cactus',men,7,Blue,Mesh,Lunarlon,39,0,2149.0,3865
https://www.goat.com/sneakers/flyknit-racer-volt-2016-526628-011-16,2014-09-24,Nike,Flyknit Racer 'Volt' 2016,men,2,Black,Flyknit,Phylon,39,0,490.0,3874
https://www.goat.com/sneakers/zoom-kobe-venomenon-4-635578-301,2014-02-22,Nike,Zoom Kobe Venomenon 4 'Green Abyss',men,7,Blue,Synthetic,Air,39,0,52.0,4088
https://www.goat.com/sneakers/air-jordan-1-mid-nouveau-yoth-652484-405,2014-01-19,Air Jordan,Air Jordan 1 Mid Nouveau YOTH 'Deep Royal',men,5,Blue,Leather,Air,39,0,400.0,4122
https://www.goat.com/sneakers/air-jordan-1-legend-blue,2014-12-01,Air Jordan,Air Jordan 1 Retro Mid 'Legend Blue',men,3,White,Patent Leather,Air,39,0,260.0,3806
