url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/womens-air-force-1-jsw-306511-141,2003-01-01,Nike,Wmns Air Force 1 JSW 'White University Blue',women,3,White,,Air,38,0,283.0,8160
https://www.goat.com/sneakers/wmns-air-max-1-307168-141,2003-01-01,Nike,Wmns Air Max 1 'Habor Blue',women,7,White,Leather,Air,38,0,671.0,8160
https://www.goat.com/sneakers/air-jordan-12-retro-low-women-s-308306-161,2004-06-22,Air Jordan,Wmns Air Jordan 12 Retro Low 'Real Pink',women,4,White,,Air,38,0,671.0,7622
https://www.goat.com/sneakers/wmns-air-force-1-307109-161,2004-01-01,Nike,Wmns Air Force 1,women,5,White,,Air,38,0,416.0,7795
https://www.goat.com/sneakers/air-jordan-12-retro-women-s-unc-308243-142,2004-02-14,Air Jordan,Wmns Air Jordan 12 Retro 'UNC',women,4,White,,Air,38,0,941.0,7751
https://www.goat.com/sneakers/wmns-air-trainer-max-91-denim-311122-041,2005-07-15,Nike,Wmns Air Trainer Max 91 'Denim',women,3,Blue,,Air,38,0,704.0,7234
https://www.goat.com/sneakers/w-s-air-jordan-retro-13-low-310804-102,2005-05-07,Air Jordan,Wmns Air Jordan 13 Retro Low 'University Blue',women,7,White,Suede,Zoom Air,38,0,388.0,7303
https://www.goat.com/sneakers/w-s-2-14-retro-312274-001,2005-10-22,Air Jordan,Wmns Air Jordan 14 Retro 'Real Pink',women,5,Black,Suede,Zoom Air,38,0,660.0,7135
https://www.goat.com/sneakers/womens-air-jordan-14-retro-312274-161,2005-11-19,Air Jordan,Wmns Air Jordan 14 Retro 'Linen',women,6,White,Leather,Zoom Air,38,1,674.0,7107
https://www.goat.com/sneakers/air-jordan-10-retro-women-s-311770-131,2005-07-23,Air Jordan,Wmns Air Jordan 10 Retro,women,4,White,,Air,38,0,547.0,7226
https://www.goat.com/sneakers/womens-dunk-low-premium-collection-royale-serena-williams-313600-371,2006-01-01,Nike,Wmns Dunk Low Premium 'Collection Royale Serena Williams',women,4,Green,,,38,0,1068.0,7064
https://www.goat.com/sneakers/wmns-dunk-low-metallic-zinc-309324-062,2006-10-05,Nike,Wmns Dunk Low 'Metallic Zinc',women,4,Silver,,,38,0,541.0,6787
https://www.goat.com/sneakers/wmns-air-force-1-premium-314791-951,2006-01-01,Nike,Wmns Air Force 1 Premium,women,4,Purple,,Air,38,0,930.0,7064
https://www.goat.com/sneakers/w-s-dunk-low-premium-309730-511,2006-08-25,Nike,Wmns Dunk Low Premium 'Tricksy',women,3,Green,,,38,0,1705.0,6828
https://www.goat.com/sneakers/womens-air-jordan-14-retro-low-313044-161,2006-03-18,Air Jordan,Wmns Air Jordan 14 Retro Low 'Cerise',women,4,White,Leather,Zoom Air,38,0,185.0,6988
https://www.goat.com/sneakers/w-s-dunk-low-nke-314141-731,2006-05-01,Nike,Wmns Dunk Low Nke,women,2,Grey,,,38,0,374.0,6944
https://www.goat.com/sneakers/air-jordan-5-retro-women-s-sunset-313551-161,2006-09-23,Air Jordan,Wmns Air Jordan 5 Retro 'Sunset',women,4,White,,Air,38,0,417.0,6799
https://www.goat.com/sneakers/womens-2-4-retro-313559-142,2006-07-22,Air Jordan,Wmns Air Jordan 4 Retro 'Linen' 2006,women,5,White,Leather,Air,38,0,716.0,6862
https://www.goat.com/sneakers/air-jordan-5-retro-women-s-313551-061,2006-10-21,Air Jordan,Wmns Air Jordan 5 Retro 'Stealth',women,3,Silver,,Air,38,0,874.0,6771
https://www.goat.com/sneakers/w-s-2-7-retro-313358-172,2006-05-27,Air Jordan,Wmns Air Jordan 7 Retro 'White Varsity Maize',women,3,White,Leather,Air,38,0,415.0,6918
https://www.goat.com/sneakers/wmns-vandal-low-tweed-pack-312492-011,2007-09-20,Nike,Wmns Vandal Low 'Tweed Pack',women,3,Black,Leather,,38,0,178.0,6437
https://www.goat.com/sneakers/w-s-air-force-1-supreme-316118-111,2007-01-01,Nike,Wmns Air Force 1 Supreme,women,3,White,,Air,38,0,155.0,6699
https://www.goat.com/sneakers/wmns-air-force-1-07-team-red-gold-315115-671,2007-11-09,Nike,Wmns Air Force 1 '07 'Team Red Gold',women,4,Red,,Air,38,0,157.0,6387
https://www.goat.com/sneakers/air-jordan-5-retro-low-women-s-314337-101,2007-01-20,Air Jordan,Wmns Air Jordan 5 Retro Low 'White Metallic' 2006,women,4,White,Leather,Air,38,0,431.0,6680
https://www.goat.com/sneakers/w-s-air-force-1-07-315115-031,2007-01-01,Nike,Wmns Air Force 1 '07 'Granite',women,3,Grey,,Air,38,0,112.0,6699
